GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
NR-HimachalPradesh-Pumped Storage_EP,2025,0,20150,244774.5806
NR-HimachalPradesh-Pumped Storage_EP,2035,0,20150,244774.5806
NR-HimachalPradesh-Pumped Storage_EP,2045,0,20150,244774.5806
NR-HimachalPradesh-Pumped Storage_EP,2022,0,20150,244774.5806
NR-HimachalPradesh-PV,2025,1491641,21001,.
NR-HimachalPradesh-PV,2035,895321,15022,.
NR-HimachalPradesh-PV,2045,753705,13510,.
NR-HimachalPradesh-PV_EP,2022,1491641,21001,.
NR-HimachalPradesh-Onshore,2025,1569099,31251,.
NR-HimachalPradesh-Onshore,2035,1344692,28261,.
NR-HimachalPradesh-Onshore,2045,1188169,26256,.
NR-HimachalPradesh-Onshore_EP,2022,1569099,31251,.
NR-HimachalPradesh-Battery,2025,0,38777,427850.75
NR-HimachalPradesh-Battery,2035,0,29997,336849
NR-HimachalPradesh-Battery,2045,0,24986,284904.75
NR-JammuandKashmir-Run-of-River_EP,2025,3241336,92000,.
NR-JammuandKashmir-Run-of-River_EP,2035,3241336,92000,.
NR-JammuandKashmir-Run-of-River_EP,2045,3111470,88000,.
NR-JammuandKashmir-Run-of-River_EP,2022,3241336,92000,.
NR-JammuandKashmir-RoR-with Pondage_EP,2025,3241336,92000,.
NR-JammuandKashmir-RoR-with Pondage_EP,2035,3241336,92000,.
NR-JammuandKashmir-RoR-with Pondage_EP,2045,3111470,88000,.
NR-JammuandKashmir-RoR-with Pondage_EP,2022,3241336,92000,.
NR-JammuandKashmir-Storage_EP,2025,3241336,92000,.
NR-JammuandKashmir-Storage_EP,2035,3241336,92000,.
NR-JammuandKashmir-Storage_EP,2045,3111470,88000,.
NR-JammuandKashmir-Storage_EP,2022,3241336,92000,.
NR-JammuandKashmir-Pumped Storage_EP,2025,0,20150,244774.5806
NR-JammuandKashmir-Pumped Storage_EP,2035,0,20150,244774.5806
NR-JammuandKashmir-Pumped Storage_EP,2045,0,20150,244774.5806
NR-JammuandKashmir-Pumped Storage_EP,2022,0,20150,244774.5806
NR-JammuandKashmir-PV,2025,1491641,21001,.
NR-JammuandKashmir-PV,2035,895321,15022,.
NR-JammuandKashmir-PV,2045,753705,13510,.
NR-JammuandKashmir-PV_EP,2022,1491641,21001,.
NR-JammuandKashmir-Onshore,2025,1569099,31251,.
NR-JammuandKashmir-Onshore,2035,1344692,28261,.
NR-JammuandKashmir-Onshore,2045,1188169,26256,.
NR-JammuandKashmir-Onshore_EP,2022,1569099,31251,.
NR-JammuandKashmir-Battery,2025,0,38777,427850.75
NR-JammuandKashmir-Battery,2035,0,29997,336849
NR-JammuandKashmir-Battery,2045,0,24986,284904.75
NR-Punjab-Run-of-River_EP,2025,3241336,92000,.
NR-Punjab-Run-of-River_EP,2035,3241336,92000,.
NR-Punjab-Run-of-River_EP,2045,3111470,88000,.
NR-Punjab-Run-of-River_EP,2022,3241336,92000,.
NR-Punjab-RoR-with Pondage_EP,2025,3241336,92000,.
NR-Punjab-RoR-with Pondage_EP,2035,3241336,92000,.
NR-Punjab-RoR-with Pondage_EP,2045,3111470,88000,.
NR-Punjab-RoR-with Pondage_EP,2022,3241336,92000,.
NR-Punjab-Storage_EP,2025,3241336,92000,.
NR-Punjab-Storage_EP,2035,3241336,92000,.
NR-Punjab-Storage_EP,2045,3111470,88000,.
NR-Punjab-Storage_EP,2022,3241336,92000,.
NR-Punjab-Pumped Storage_EP,2025,0,20150,244774.5806
NR-Punjab-Pumped Storage_EP,2035,0,20150,244774.5806
NR-Punjab-Pumped Storage_EP,2045,0,20150,244774.5806
NR-Punjab-Pumped Storage_EP,2022,0,20150,244774.5806
