GENERATION_PROJECT,build_year,build_gen_predetermined,gen_can_retire_early
Jiangxi-Coal-SUBCRITICAL_EP,2022,1173.5,1
Jiangxi-Coal-SUPERCRITICAL_EP,2022,15390,1
Jiangxi-Coal-ULTRASUPERCRITICAL_EP,2022,3000,1
Jiangxi-Coal-IGCC_EP,2022,0,1
Jiangxi-Gas-CCGT_EP,2022,87,1
Jiangxi-Gas-turbine_EP,2022,0,1
Jiangxi-Nuclear_EP,2022,0,1
Jilin-Coal-SUBCRITICAL_EP,2022,4653,1
Jilin-Coal-SUPERCRITICAL_EP,2022,10870,1
Jilin-Coal-ULTRASUPERCRITICAL_EP,2022,0,1
Jilin-Coal-IGCC_EP,2022,0,1
Jilin-Gas-CCGT_EP,2022,0,1
Jilin-Gas-turbine_EP,2022,0,1
Jilin-Nuclear_EP,2022,0,1
Liaoning-Coal-SUBCRITICAL_EP,2022,7159.1,1
Liaoning-Coal-SUPERCRITICAL_EP,2022,20480,1
Liaoning-Coal-ULTRASUPERCRITICAL_EP,2022,3600,1
Liaoning-Coal-IGCC_EP,2022,0,1
Liaoning-Gas-CCGT_EP,2022,0,1
Liaoning-Gas-turbine_EP,2022,0,1
Liaoning-Nuclear_EP,2022,6297.6,1
Ningxia-Coal-SUBCRITICAL_EP,2022,2677.5,1
Ningxia-Coal-SUPERCRITICAL_EP,2022,21600,1
Ningxia-Coal-ULTRASUPERCRITICAL_EP,2022,2000,1
Ningxia-Coal-IGCC_EP,2022,0,1
Ningxia-Gas-CCGT_EP,2022,560,1
Ningxia-Gas-turbine_EP,2022,0,1
Ningxia-Nuclear_EP,2022,0,1
Qinghai-Coal-SUBCRITICAL_EP,2022,1561.5,1
Qinghai-Coal-SUPERCRITICAL_EP,2022,3530,1
Qinghai-Coal-ULTRASUPERCRITICAL_EP,2022,0,1
Qinghai-Coal-IGCC_EP,2022,0,1
Qinghai-Gas-CCGT_EP,2022,0,1
Qinghai-Gas-turbine_EP,2022,0,1
Qinghai-Nuclear_EP,2022,0,1
Shaanxi-Coal-SUBCRITICAL_EP,2022,2959.5,1
Shaanxi-Coal-SUPERCRITICAL_EP,2022,28420,1
Shaanxi-Coal-ULTRASUPERCRITICAL_EP,2022,4000,1
Shaanxi-Coal-IGCC_EP,2022,0,1
Shaanxi-Gas-CCGT_EP,2022,0,1
Shaanxi-Gas-turbine_EP,2022,0,1
Shaanxi-Nuclear_EP,2022,0,1
Shandong-Coal-SUBCRITICAL_EP,2022,24187.02,1
Shandong-Coal-SUPERCRITICAL_EP,2022,42786,1
Shandong-Coal-ULTRASUPERCRITICAL_EP,2022,9000,1
Shandong-Coal-IGCC_EP,2022,0,1
Shandong-Gas-CCGT_EP,2022,0,1
Shandong-Gas-turbine_EP,2022,0,1
Shandong-Nuclear_EP,2022,4850,1
Shanghai-Coal-SUBCRITICAL_EP,2022,814,1
Shanghai-Coal-SUPERCRITICAL_EP,2022,8900,1
Shanghai-Coal-ULTRASUPERCRITICAL_EP,2022,5800,1
Shanghai-Coal-IGCC_EP,2022,0,1
Shanghai-Gas-CCGT_EP,2022,6381.44,1
Shanghai-Gas-turbine_EP,2022,0,1
Shanghai-Nuclear_EP,2022,0,1
Shanxi-Coal-SUBCRITICAL_EP,2022,10801.9,1
Shanxi-Coal-SUPERCRITICAL_EP,2022,47970,1
Shanxi-Coal-ULTRASUPERCRITICAL_EP,2022,4000,1
Shanxi-Coal-IGCC_EP,2022,0,1
Shanxi-Gas-CCGT_EP,2022,1845,1
Shanxi-Gas-turbine_EP,2022,0,1
Shanxi-Nuclear_EP,2022,0,1
Sichuan-Coal-SUBCRITICAL_EP,2022,2165.85,1
Sichuan-Coal-SUPERCRITICAL_EP,2022,10860,1
Sichuan-Coal-ULTRASUPERCRITICAL_EP,2022,0,1
Sichuan-Coal-IGCC_EP,2022,0,1
Sichuan-Gas-CCGT_EP,2022,716.29,1
Sichuan-Gas-turbine_EP,2022,0,1
Sichuan-Nuclear_EP,2022,0,1
Tianjin-Coal-SUBCRITICAL_EP,2022,1870.5,1
Tianjin-Coal-SUPERCRITICAL_EP,2022,7376,1
Tianjin-Coal-ULTRASUPERCRITICAL_EP,2022,2000,1
Tianjin-Coal-IGCC_EP,2022,265,1
Tianjin-Gas-CCGT_EP,2022,2842.22,1
Tianjin-Gas-turbine_EP,2022,0,1
Tianjin-Nuclear_EP,2022,0,1
Tibet-Coal-SUBCRITICAL_EP,2022,0,1
Tibet-Coal-SUPERCRITICAL_EP,2022,0,1
Tibet-Coal-ULTRASUPERCRITICAL_EP,2022,0,1
Tibet-Coal-IGCC_EP,2022,0,1
Tibet-Gas-CCGT_EP,2022,0,1
Tibet-Gas-turbine_EP,2022,0,1
Tibet-Nuclear_EP,2022,0,1
West_Inner_Mongolia-Coal-SUBCRITICAL_EP,2022,13065.5,1
West_Inner_Mongolia-Coal-SUPERCRITICAL_EP,2022,56510,1
West_Inner_Mongolia-Coal-ULTRASUPERCRITICAL_EP,2022,0,1
West_Inner_Mongolia-Coal-IGCC_EP,2022,0,1
West_Inner_Mongolia-Gas-CCGT_EP,2022,0,1
West_Inner_Mongolia-Gas-turbine_EP,2022,0,1
West_Inner_Mongolia-Nuclear_EP,2022,0,1
Xinjiang-Coal-SUBCRITICAL_EP,2022,10618,1
Xinjiang-Coal-SUPERCRITICAL_EP,2022,44170,1
Xinjiang-Coal-ULTRASUPERCRITICAL_EP,2022,2200,1
Xinjiang-Coal-IGCC_EP,2022,0,1
Xinjiang-Gas-CCGT_EP,2022,111,1
Xinjiang-Gas-turbine_EP,2022,0,1
Xinjiang-Nuclear_EP,2022,0,1
Yunnan-Coal-SUBCRITICAL_EP,2022,1059.2,1
Yunnan-Coal-SUPERCRITICAL_EP,2022,11400,1
Yunnan-Coal-ULTRASUPERCRITICAL_EP,2022,0,1
Yunnan-Coal-IGCC_EP,2022,0,1
Yunnan-Gas-CCGT_EP,2022,0,1
Yunnan-Gas-turbine_EP,2022,0,1
Yunnan-Nuclear_EP,2022,0,1
Zhejiang-Coal-SUBCRITICAL_EP,2022,7285.63,1
Zhejiang-Coal-SUPERCRITICAL_EP,2022,24740,1
Zhejiang-Coal-ULTRASUPERCRITICAL_EP,2022,18000,1
Zhejiang-Coal-IGCC_EP,2022,0,1
Zhejiang-Gas-CCGT_EP,2022,12267.39,1
Zhejiang-Gas-turbine_EP,2022,0,1
Zhejiang-Nuclear_EP,2022,9832,1
Anhui-Central_PV_EP-ep,2022,8878.5,1
Anhui-Hydro_NonPumped-ep,2022,2950.44,1
Anhui-Hydro_Pumped-ep,2022,3680,1
Anhui-Wind_EP-ep,2022,2174,1
Beijing-Central_PV_EP-ep,2022,249,1
Beijing-Hydro_NonPumped-ep,2022,739.23,1
Beijing-Hydro_Pumped-ep,2022,822,1
Beijing-Wind_EP-ep,2022,188.5,1
Chongqing-Central_PV_EP-ep,2022,126,1
Chongqing-Hydro_NonPumped-ep,2022,9437.94,1
Chongqing-Hydro_Pumped-ep,2022,1200,1
Chongqing-Wind_EP-ep,2022,332.7,1
East_Inner_Mongolia-Central_PV_EP-ep,2022,2184.07,1
East_Inner_Mongolia-Hydro_NonPumped-ep,2022,721.32,1
East_Inner_Mongolia-Wind_EP-ep,2022,7853.75,1
Fujian-Central_PV_EP-ep,2022,928,1
Fujian-Hydro_NonPumped-ep,2022,11586.23,1
Fujian-Hydro_Pumped-ep,2022,1400,1
Fujian-Wind_EP-ep,2022,2518.6,1
Gansu-Central_PV_EP-ep,2022,7857.2,1
Gansu-Hydro_NonPumped-ep,2022,7800.37,1
