hydro_project,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
Guangxi-Hydro_NonPumped-ep,2030.07.01,0,21461
Guangxi-Hydro_NonPumped-ep,2030.10.31,0,7413
Guangxi-Hydro_NonPumped-ep,2040.01.02,0,3002
Guangxi-Hydro_NonPumped-ep,2040.04.19,0,7464
Guangxi-Hydro_NonPumped-ep,2040.07.24,0,24055
Guangxi-Hydro_NonPumped-ep,2040.10.13,0,8309
Guangxi-Hydro_NonPumped-ep,2050.01.04,0,3329
Guangxi-Hydro_NonPumped-ep,2050.04.29,0,8279
Guangxi-Hydro_NonPumped-ep,2050.07.23,0,26686
Guangxi-Hydro_NonPumped-ep,2050.10.22,0,9218
Guizhou-Hydro_NonPumped-ep,2030.01.28,0,4205
Guizhou-Hydro_NonPumped-ep,2030.04.15,0,5540
Guizhou-Hydro_NonPumped-ep,2030.07.01,0,28408
Guizhou-Hydro_NonPumped-ep,2030.10.31,0,18488
Guizhou-Hydro_NonPumped-ep,2040.01.02,0,4713
Guizhou-Hydro_NonPumped-ep,2040.04.19,0,6209
Guizhou-Hydro_NonPumped-ep,2040.07.24,0,31842
Guizhou-Hydro_NonPumped-ep,2040.10.13,0,20721
Guizhou-Hydro_NonPumped-ep,2050.01.04,0,5228
Guizhou-Hydro_NonPumped-ep,2050.04.29,0,6888
Guizhou-Hydro_NonPumped-ep,2050.07.23,0,35324
Guizhou-Hydro_NonPumped-ep,2050.10.22,0,22987
Hainan-Hydro_NonPumped-ep,2030.01.28,0,241
Hainan-Hydro_NonPumped-ep,2030.04.15,0,600
Hainan-Hydro_NonPumped-ep,2030.07.01,0,1934
Hainan-Hydro_NonPumped-ep,2030.10.31,0,668
Hainan-Hydro_NonPumped-ep,2040.01.02,0,270
Hainan-Hydro_NonPumped-ep,2040.04.19,0,672
Hainan-Hydro_NonPumped-ep,2040.07.24,0,2169
Hainan-Hydro_NonPumped-ep,2040.10.13,0,749
Hainan-Hydro_NonPumped-ep,2050.01.04,0,300
