GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Fujian-Coal_1000_RC,1.0,7.88
Fujian-Coal_1000_SEA,0.4,8.471
Fujian-Coal_1000_SEA,1.0,7.88
Fujian-Coal_100_RC,0.4,9.7395
Fujian-Coal_100_RC,1.0,9.06
Fujian-Coal_300_OT,0.4,9.589
Fujian-Coal_300_OT,1.0,8.92
Fujian-Coal_300_RC,0.4,9.589
Fujian-Coal_300_RC,1.0,8.92
Fujian-Coal_300_SEA,0.4,9.589
Fujian-Coal_300_SEA,1.0,8.92
Fujian-Coal_600_OT,0.4,9.08375
Fujian-Coal_600_OT,1.0,8.45
Fujian-Coal_600_RC,0.4,9.08375
Fujian-Coal_600_RC,1.0,8.45
Fujian-Coal_600_SEA,0.4,9.08375
Fujian-Coal_600_SEA,1.0,8.45
Fujian-Coal_IGCC_RC,0.4,12.75715
Fujian-Coal_IGCC_RC,1.0,8.89
Fujian-Coal_Small_RC,0.4,10.406
Fujian-Coal_Small_RC,1.0,9.68
Fujian-Coal_Small_SEA,0.4,10.3845
Fujian-Coal_Small_SEA,1.0,9.66
Fujian-EP_Coal_1000_SEA,0.4,8.2345
Fujian-EP_Coal_1000_SEA,1.0,7.66
Fujian-EP_Coal_300_OT,0.4,9.16975
Fujian-EP_Coal_300_OT,1.0,8.53
Fujian-EP_Coal_300_RC,0.4,9.16975
Fujian-EP_Coal_300_RC,1.0,8.53
Fujian-EP_Coal_300_SEA,0.4,9.16975
Fujian-EP_Coal_300_SEA,1.0,8.53
Fujian-EP_Coal_600_OT,0.4,8.52475
Fujian-EP_Coal_600_OT,1.0,7.93
Fujian-EP_Coal_600_SEA,0.4,8.524750000000003
Fujian-EP_Coal_600_SEA,1.0,7.9300000000000015
Fujian-EP_Gas_CCGT_RC,0.45,9.42564
Fujian-EP_Gas_CCGT_RC,1.0,6.86
Fujian-EP_Gas_CCGT_SEA,0.45,8.683679999999999
Fujian-EP_Gas_CCGT_SEA,1.0,6.32
Fujian-Gas_CCGT_OT,0.45,8.88978
Fujian-Gas_CCGT_OT,1.0,6.47
Fujian-Gas_CCGT_RC,0.45,9.64548
Fujian-Gas_CCGT_RC,1.0,7.02
Fujian-Gas_CCGT_SEA,0.45,8.88978
Fujian-Gas_CCGT_SEA,1.0,6.47
Fujian-Gas_Combustion_Turbine_RC,0.4,11.03368
Fujian-Gas_Combustion_Turbine_RC,1.0,9.76
Gansu-Coal_1000_DRY,0.4,8.9225
Gansu-Coal_1000_DRY,1.0,8.3
Gansu-Coal_1000_RC,0.4,8.471
Gansu-Coal_1000_RC,1.0,7.88
Gansu-Coal_100_DRY,0.4,10.15875
Gansu-Coal_100_DRY,1.0,9.45
Gansu-Coal_100_RC,0.4,9.739499999999998
Gansu-Coal_100_RC,1.0,9.06
Gansu-Coal_300_DRY,0.4,10.07275
Gansu-Coal_300_DRY,1.0,9.37
Gansu-Coal_300_RC,0.4,9.589
Gansu-Coal_300_RC,1.0,8.92
Gansu-Coal_600_DRY,0.4,9.6105
Gansu-Coal_600_DRY,1.0,8.94
Gansu-Coal_600_RC,0.4,9.08375
Gansu-Coal_600_RC,1.0,8.45
Gansu-Coal_IGCC_RC,0.4,12.75715
Gansu-Coal_IGCC_RC,1.0,8.89
Gansu-Coal_Small_RC,0.4,10.406
Gansu-Coal_Small_RC,1.0,9.68
Gansu-EP_Coal_300_DRY,0.4,9.460000000000004
Gansu-EP_Coal_300_DRY,1.0,8.800000000000004
Gansu-EP_Coal_300_RC,0.4,9.16975
Gansu-EP_Coal_300_RC,1.0,8.53
Gansu-EP_Coal_600_DRY,0.4,8.8795
Gansu-EP_Coal_600_DRY,1.0,8.26
Gansu-Gas_CCGT_RC,0.45,9.64548
Gansu-Gas_CCGT_RC,1.0,7.02
Gansu-Gas_Combustion_Turbine_RC,0.4,11.03368
Gansu-Gas_Combustion_Turbine_RC,1.0,9.76
Guangdong-Coal_1000_OT,0.4,8.471
Guangdong-Coal_1000_OT,1.0,7.88
Guangdong-Coal_1000_RC,0.4,8.471000000000002
Guangdong-Coal_1000_RC,1.0,7.88
Guangdong-Coal_1000_SEA,0.4,8.471
Guangdong-Coal_1000_SEA,1.0,7.88
Guangdong-Coal_100_OT,0.4,9.81475
Guangdong-Coal_100_OT,1.0,9.13
Guangdong-Coal_100_RC,0.4,9.739499999999998
Guangdong-Coal_100_RC,1.0,9.06
Guangdong-Coal_100_SEA,0.4,9.814750000000002
Guangdong-Coal_100_SEA,1.0,9.13
Guangdong-Coal_300_OT,0.4,9.589
Guangdong-Coal_300_OT,1.0,8.92
Guangdong-Coal_300_RC,0.4,9.589
Guangdong-Coal_300_RC,1.0,8.92
Guangdong-Coal_300_SEA,0.4,9.589
Guangdong-Coal_300_SEA,1.0,8.92
Guangdong-Coal_600_OT,0.4,9.08375
Guangdong-Coal_600_OT,1.0,8.45
Guangdong-Coal_600_RC,0.4,9.08375
Guangdong-Coal_600_RC,1.0,8.450000000000001
Guangdong-Coal_600_SEA,0.4,9.08375
Guangdong-Coal_600_SEA,1.0,8.45
Guangdong-Coal_IGCC_RC,0.4,12.757149999999998
Guangdong-Coal_IGCC_RC,1.0,8.89
Guangdong-Coal_Small_OT,0.4,10.3845
Guangdong-Coal_Small_OT,1.0,9.66
Guangdong-Coal_Small_RC,0.4,10.406
Guangdong-Coal_Small_RC,1.0,9.68
Guangdong-EP_Coal_1000_SEA,0.4,8.2345
Guangdong-EP_Coal_1000_SEA,1.0,7.66
Guangdong-EP_Coal_300_OT,0.4,9.16975
Guangdong-EP_Coal_300_OT,1.0,8.53
Guangdong-EP_Coal_300_RC,0.4,9.16975
Guangdong-EP_Coal_300_RC,1.0,8.53
Guangdong-EP_Coal_300_SEA,0.4,9.16975
Guangdong-EP_Coal_300_SEA,1.0,8.53
Guangdong-EP_Coal_600_RC,0.4,8.52475
Guangdong-EP_Coal_600_RC,1.0,7.930000000000001
Guangdong-EP_Coal_600_SEA,0.4,8.524750000000001
Guangdong-EP_Coal_600_SEA,1.0,7.930000000000001
Guangdong-EP_Gas_CCGT_OT,0.45,8.68368
Guangdong-EP_Gas_CCGT_OT,1.0,6.32
Guangdong-EP_Gas_CCGT_RC,0.45,9.425639999999998
Guangdong-EP_Gas_CCGT_RC,1.0,6.860000000000002
Guangdong-EP_Gas_CCGT_SEA,0.45,8.68368
Guangdong-EP_Gas_CCGT_SEA,1.0,6.32
Guangdong-Gas_CCGT_OT,0.45,8.88978
Guangdong-Gas_CCGT_OT,1.0,6.47
Guangdong-Gas_CCGT_RC,0.45,9.64548
Guangdong-Gas_CCGT_RC,1.0,7.019999999999999
Guangdong-Gas_CCGT_SEA,0.45,8.88978
Guangdong-Gas_CCGT_SEA,1.0,6.470000000000001
Guangdong-Gas_Combustion_Turbine_RC,0.4,11.03368
Guangdong-Gas_Combustion_Turbine_RC,1.0,9.76
Guangxi-Coal_1000_OT,0.4,8.471
Guangxi-Coal_1000_OT,1.0,7.88
Guangxi-Coal_1000_RC,0.4,8.471
Guangxi-Coal_1000_RC,1.0,7.88
Guangxi-Coal_1000_SEA,0.4,8.471
Guangxi-Coal_1000_SEA,1.0,7.88
Guangxi-Coal_100_OT,0.4,9.814750000000002
Guangxi-Coal_100_OT,1.0,9.13
Guangxi-Coal_100_RC,0.4,9.7395
Guangxi-Coal_100_RC,1.0,9.06
Guangxi-Coal_300_OT,0.4,9.589
Guangxi-Coal_300_OT,1.0,8.92
Guangxi-Coal_300_RC,0.4,9.589
Guangxi-Coal_300_RC,1.0,8.92
Guangxi-Coal_300_SEA,0.4,9.589
Guangxi-Coal_300_SEA,1.0,8.92
Guangxi-Coal_600_OT,0.4,9.08375
Guangxi-Coal_600_OT,1.0,8.45
Guangxi-Coal_600_RC,0.4,9.08375
Guangxi-Coal_600_RC,1.0,8.45
Guangxi-Coal_600_SEA,0.4,9.08375
Guangxi-Coal_600_SEA,1.0,8.45
Guangxi-Coal_IGCC_RC,0.4,12.75715
Guangxi-Coal_IGCC_RC,1.0,8.89
Guangxi-Coal_Small_OT,0.4,10.3845
Guangxi-Coal_Small_OT,1.0,9.66
Guangxi-Coal_Small_RC,0.4,10.406
Guangxi-Coal_Small_RC,1.0,9.68
Guangxi-EP_Coal_1000_RC,0.4,8.2345
Guangxi-EP_Coal_1000_RC,1.0,7.66
Guangxi-EP_Coal_1000_SEA,0.4,8.2345
Guangxi-EP_Coal_1000_SEA,1.0,7.66
Guangxi-EP_Coal_300_OT,0.4,9.16975
Guangxi-EP_Coal_300_OT,1.0,8.53
Guangxi-EP_Coal_300_RC,0.4,9.16975
Guangxi-EP_Coal_300_RC,1.0,8.53
Guangxi-EP_Coal_300_SEA,0.4,9.16975
Guangxi-EP_Coal_300_SEA,1.0,8.53
Guangxi-EP_Coal_600_OT,0.4,8.52475
Guangxi-EP_Coal_600_OT,1.0,7.93
Guangxi-EP_Coal_600_SEA,0.4,8.52475
Guangxi-EP_Coal_600_SEA,1.0,7.93
Guangxi-Gas_CCGT_OT,0.45,8.88978
Guangxi-Gas_CCGT_OT,1.0,6.47
Guangxi-Gas_CCGT_RC,0.45,9.64548
Guangxi-Gas_CCGT_RC,1.0,7.02
Guangxi-Gas_CCGT_SEA,0.45,8.88978
Guangxi-Gas_CCGT_SEA,1.0,6.47
Guangxi-Gas_Combustion_Turbine_RC,0.4,11.03368
Guangxi-Gas_Combustion_Turbine_RC,1.0,9.76
Guizhou-Coal_1000_RC,0.4,8.471
Guizhou-Coal_1000_RC,1.0,7.88
Guizhou-Coal_100_RC,0.4,9.7395
Guizhou-Coal_100_RC,1.0,9.06
Guizhou-Coal_300_RC,0.4,9.589
Guizhou-Coal_300_RC,1.0,8.92
Guizhou-Coal_600_RC,0.4,9.08375
Guizhou-Coal_600_RC,1.0,8.45
Guizhou-Coal_IGCC_RC,0.4,12.75715
Guizhou-Coal_IGCC_RC,1.0,8.89
Guizhou-Coal_Small_RC,0.4,10.406
Guizhou-Coal_Small_RC,1.0,9.68
