GENERATION_PROJECT,gen_loading_level,gen_heat_rate_at_loading_level
Hunan-EP_Coal_300_OT,1.0,8.53
Hunan-EP_Coal_300_RC,0.4,9.16975
Hunan-EP_Coal_300_RC,1.0,8.53
Hunan-EP_Coal_600_OT,0.4,8.52475
Hunan-EP_Coal_600_OT,1.0,7.9300000000000015
Hunan-EP_Coal_600_RC,0.4,8.52475
Hunan-EP_Coal_600_RC,1.0,7.9300000000000015
Hunan-Gas_CCGT_RC,0.45,9.64548
Hunan-Gas_CCGT_RC,1.0,7.02
Hunan-Gas_Combustion_Turbine_RC,0.4,11.03368
Hunan-Gas_Combustion_Turbine_RC,1.0,9.76
Jiangsu-Coal_1000_OT,0.4,8.471
Jiangsu-Coal_1000_OT,1.0,7.88
Jiangsu-Coal_1000_RC,0.4,8.471
Jiangsu-Coal_1000_RC,1.0,7.88
Jiangsu-Coal_1000_SEA,0.4,8.471
Jiangsu-Coal_1000_SEA,1.0,7.88
Jiangsu-Coal_100_OT,0.4,9.81475
Jiangsu-Coal_100_OT,1.0,9.13
Jiangsu-Coal_100_RC,0.4,9.739499999999998
Jiangsu-Coal_100_RC,1.0,9.06
Jiangsu-Coal_300_OT,0.4,9.589
Jiangsu-Coal_300_OT,1.0,8.92
Jiangsu-Coal_300_RC,0.4,9.589
Jiangsu-Coal_300_RC,1.0,8.92
Jiangsu-Coal_300_SEA,0.4,9.589
Jiangsu-Coal_300_SEA,1.0,8.92
Jiangsu-Coal_600_OT,0.4,9.08375
Jiangsu-Coal_600_OT,1.0,8.45
Jiangsu-Coal_600_RC,0.4,9.08375
Jiangsu-Coal_600_RC,1.0,8.45
Jiangsu-Coal_600_SEA,0.4,9.08375
Jiangsu-Coal_600_SEA,1.0,8.45
Jiangsu-Coal_IGCC_RC,0.4,12.75715
Jiangsu-Coal_IGCC_RC,1.0,8.89
Jiangsu-Coal_Small_OT,0.4,10.3845
Jiangsu-Coal_Small_OT,1.0,9.66
Jiangsu-Coal_Small_RC,0.4,10.406
Jiangsu-Coal_Small_RC,1.0,9.68
Jiangsu-EP_Coal_1000_OT,0.4,8.2345
Jiangsu-EP_Coal_1000_OT,1.0,7.66
Jiangsu-EP_Coal_1000_RC,0.4,8.2345
Jiangsu-EP_Coal_1000_RC,1.0,7.66
Jiangsu-EP_Coal_1000_SEA,0.4,8.2345
Jiangsu-EP_Coal_1000_SEA,1.0,7.66
Jiangsu-EP_Coal_300_OT,0.4,9.16975
Jiangsu-EP_Coal_300_OT,1.0,8.53
Jiangsu-EP_Coal_300_RC,0.4,9.16975
Jiangsu-EP_Coal_300_RC,1.0,8.53
Jiangsu-EP_Coal_600_OT,0.4,8.524750000000001
Jiangsu-EP_Coal_600_OT,1.0,7.930000000000001
Jiangsu-EP_Coal_600_RC,0.4,8.52475
Jiangsu-EP_Coal_600_RC,1.0,7.93
Jiangsu-EP_Coal_600_SEA,0.4,8.52475
Jiangsu-EP_Coal_600_SEA,1.0,7.93
Jiangsu-EP_Gas_CCGT_OT,0.45,8.68368
Jiangsu-EP_Gas_CCGT_OT,1.0,6.32
Jiangsu-EP_Gas_CCGT_RC,0.45,9.425639999999998
Jiangsu-EP_Gas_CCGT_RC,1.0,6.860000000000002
Jiangsu-Gas_CCGT_OT,0.45,8.88978
Jiangsu-Gas_CCGT_OT,1.0,6.470000000000001
Jiangsu-Gas_CCGT_RC,0.45,9.64548
Jiangsu-Gas_CCGT_RC,1.0,7.019999999999999
Jiangsu-Gas_CCGT_SEA,0.45,8.88978
Jiangsu-Gas_CCGT_SEA,1.0,6.47
Jiangsu-Gas_Combustion_Turbine_RC,0.4,11.03368
Jiangsu-Gas_Combustion_Turbine_RC,1.0,9.76
Jiangxi-Coal_1000_OT,0.4,8.471
Jiangxi-Coal_1000_OT,1.0,7.88
Jiangxi-Coal_1000_RC,0.4,8.471
Jiangxi-Coal_1000_RC,1.0,7.88
Jiangxi-Coal_100_OT,0.4,9.81475
Jiangxi-Coal_100_OT,1.0,9.13
Jiangxi-Coal_100_RC,0.4,9.7395
Jiangxi-Coal_100_RC,1.0,9.06
Jiangxi-Coal_300_OT,0.4,9.589
Jiangxi-Coal_300_OT,1.0,8.92
Jiangxi-Coal_300_RC,0.4,9.589
Jiangxi-Coal_300_RC,1.0,8.92
Jiangxi-Coal_600_OT,0.4,9.08375
Jiangxi-Coal_600_OT,1.0,8.45
Jiangxi-Coal_600_RC,0.4,9.08375
Jiangxi-Coal_600_RC,1.0,8.45
Jiangxi-Coal_IGCC_RC,0.4,12.75715
Jiangxi-Coal_IGCC_RC,1.0,8.89
Jiangxi-Coal_Small_OT,0.4,10.3845
Jiangxi-Coal_Small_OT,1.0,9.66
Jiangxi-Coal_Small_RC,0.4,10.406
Jiangxi-Coal_Small_RC,1.0,9.68
Jiangxi-EP_Coal_1000_RC,0.4,8.2345
Jiangxi-EP_Coal_1000_RC,1.0,7.66
Jiangxi-EP_Coal_300_OT,0.4,9.16975
Jiangxi-EP_Coal_300_OT,1.0,8.53
Jiangxi-EP_Coal_300_RC,0.4,9.16975
Jiangxi-EP_Coal_300_RC,1.0,8.53
Jiangxi-EP_Coal_600_OT,0.4,8.52475
Jiangxi-EP_Coal_600_OT,1.0,7.93
Jiangxi-EP_Coal_600_RC,0.4,8.52475
Jiangxi-EP_Coal_600_RC,1.0,7.930000000000003
Jiangxi-EP_Gas_CCGT_RC,0.45,9.42564
Jiangxi-EP_Gas_CCGT_RC,1.0,6.86
Jiangxi-Gas_CCGT_OT,0.45,8.88978
Jiangxi-Gas_CCGT_OT,1.0,6.47
Jiangxi-Gas_CCGT_RC,0.45,9.64548
Jiangxi-Gas_CCGT_RC,1.0,7.02
Jiangxi-Gas_Combustion_Turbine_RC,0.4,11.03368
Jiangxi-Gas_Combustion_Turbine_RC,1.0,9.76
Jilin-Coal_1000_DRY,0.4,8.9225
Jilin-Coal_1000_DRY,1.0,8.3
Jilin-Coal_1000_RC,0.4,8.471
Jilin-Coal_1000_RC,1.0,7.88
Jilin-Coal_100_OT,0.4,9.814750000000002
Jilin-Coal_100_OT,1.0,9.13
Jilin-Coal_100_RC,0.4,9.739499999999996
Jilin-Coal_100_RC,1.0,9.06
Jilin-Coal_300_DRY,0.4,10.07275
Jilin-Coal_300_DRY,1.0,9.37
Jilin-Coal_300_RC,0.4,9.589
Jilin-Coal_300_RC,1.0,8.92
Jilin-Coal_600_DRY,0.4,9.6105
Jilin-Coal_600_DRY,1.0,8.94
Jilin-Coal_600_RC,0.4,9.08375
Jilin-Coal_600_RC,1.0,8.45
Jilin-Coal_IGCC_RC,0.4,12.75715
Jilin-Coal_IGCC_RC,1.0,8.89
Jilin-Coal_Small_OT,0.4,10.3845
Jilin-Coal_Small_OT,1.0,9.66
Jilin-Coal_Small_RC,0.4,10.406
Jilin-Coal_Small_RC,1.0,9.68
Jilin-EP_Coal_300_DRY,0.4,9.46
Jilin-EP_Coal_300_DRY,1.0,8.8
Jilin-EP_Coal_300_RC,0.4,9.16975
Jilin-EP_Coal_300_RC,1.0,8.53
Jilin-EP_Coal_600_DRY,0.4,8.8795
Jilin-EP_Coal_600_DRY,1.0,8.26
Jilin-EP_Coal_600_RC,0.4,8.52475
Jilin-EP_Coal_600_RC,1.0,7.93
Jilin-Gas_CCGT_RC,0.45,9.64548
Jilin-Gas_CCGT_RC,1.0,7.02
Jilin-Gas_Combustion_Turbine_RC,0.4,11.03368
Jilin-Gas_Combustion_Turbine_RC,1.0,9.76
Liaoning-Coal_1000_DRY,0.4,8.9225
Liaoning-Coal_1000_DRY,1.0,8.3
Liaoning-Coal_1000_RC,0.4,8.471
Liaoning-Coal_1000_RC,1.0,7.88
Liaoning-Coal_1000_SEA,0.4,8.471
Liaoning-Coal_1000_SEA,1.0,7.88
Liaoning-Coal_100_RC,0.4,9.7395
Liaoning-Coal_100_RC,1.0,9.06
Liaoning-Coal_300_DRY,0.4,10.07275
Liaoning-Coal_300_DRY,1.0,9.37
Liaoning-Coal_300_RC,0.4,9.589
Liaoning-Coal_300_RC,1.0,8.92
Liaoning-Coal_300_SEA,0.4,9.589
Liaoning-Coal_300_SEA,1.0,8.92
Liaoning-Coal_600_DRY,0.4,9.6105
Liaoning-Coal_600_DRY,1.0,8.94
Liaoning-Coal_600_RC,0.4,9.08375
Liaoning-Coal_600_RC,1.0,8.45
Liaoning-Coal_600_SEA,0.4,9.08375
Liaoning-Coal_600_SEA,1.0,8.45
Liaoning-Coal_IGCC_RC,0.4,12.75715
Liaoning-Coal_IGCC_RC,1.0,8.89
Liaoning-Coal_Small_OT,0.4,10.3845
Liaoning-Coal_Small_OT,1.0,9.66
Liaoning-Coal_Small_RC,0.4,10.406
Liaoning-Coal_Small_RC,1.0,9.68
Liaoning-Coal_Small_SEA,0.4,10.3845
Liaoning-Coal_Small_SEA,1.0,9.66
Liaoning-EP_Coal_1000_SEA,0.4,8.2345
Liaoning-EP_Coal_1000_SEA,1.0,7.66
Liaoning-EP_Coal_300_DRY,0.4,9.46
Liaoning-EP_Coal_300_DRY,1.0,8.8
Liaoning-EP_Coal_300_RC,0.4,9.16975
Liaoning-EP_Coal_300_RC,1.0,8.53
Liaoning-EP_Coal_300_SEA,0.4,9.16975
Liaoning-EP_Coal_300_SEA,1.0,8.53
Liaoning-EP_Coal_600_DRY,0.4,8.8795
Liaoning-EP_Coal_600_DRY,1.0,8.26
Liaoning-EP_Coal_600_RC,0.4,8.52475
Liaoning-EP_Coal_600_RC,1.0,7.93
Liaoning-EP_Coal_600_SEA,0.4,8.52475
Liaoning-EP_Coal_600_SEA,1.0,7.93
Liaoning-Gas_CCGT_RC,0.45,9.64548
Liaoning-Gas_CCGT_RC,1.0,7.019999999999999
Liaoning-Gas_CCGT_SEA,0.45,8.88978
Liaoning-Gas_CCGT_SEA,1.0,6.47
Liaoning-Gas_Combustion_Turbine_RC,0.4,11.03368
Liaoning-Gas_Combustion_Turbine_RC,1.0,9.76
Ningxia-Coal_1000_DRY,0.4,8.9225
Ningxia-Coal_1000_DRY,1.0,8.3
Ningxia-Coal_1000_RC,0.4,8.471
Ningxia-Coal_1000_RC,1.0,7.88
Ningxia-Coal_100_RC,0.4,9.7395
Ningxia-Coal_100_RC,1.0,9.06
Ningxia-Coal_300_DRY,0.4,10.07275
Ningxia-Coal_300_DRY,1.0,9.37
Ningxia-Coal_300_RC,0.4,9.589
Ningxia-Coal_300_RC,1.0,8.92
Ningxia-Coal_600_DRY,0.4,9.6105
Ningxia-Coal_600_DRY,1.0,8.94
Ningxia-Coal_600_RC,0.4,9.08375
Ningxia-Coal_600_RC,1.0,8.45
Ningxia-Coal_IGCC_RC,0.4,12.75715
Ningxia-Coal_IGCC_RC,1.0,8.89
Ningxia-Coal_Small_RC,0.4,10.406
Ningxia-Coal_Small_RC,1.0,9.68
Ningxia-EP_Coal_1000_DRY,0.4,8.41725
Ningxia-EP_Coal_1000_DRY,1.0,7.83
Ningxia-EP_Coal_300_DRY,0.4,9.46
Ningxia-EP_Coal_300_DRY,1.0,8.8
Ningxia-EP_Coal_300_RC,0.4,9.169749999999995
Ningxia-EP_Coal_300_RC,1.0,8.53
Ningxia-EP_Coal_600_DRY,0.4,8.8795
Ningxia-EP_Coal_600_DRY,1.0,8.259999999999998
Ningxia-EP_Gas_CCGT_RC,0.45,9.42564
Ningxia-EP_Gas_CCGT_RC,1.0,6.86
Ningxia-Gas_CCGT_RC,0.45,9.64548
Ningxia-Gas_CCGT_RC,1.0,7.02
Ningxia-Gas_Combustion_Turbine_RC,0.4,11.03368
Ningxia-Gas_Combustion_Turbine_RC,1.0,9.76
Qinghai-Coal_1000_DRY,0.4,8.9225
Qinghai-Coal_1000_DRY,1.0,8.3
Qinghai-Coal_1000_RC,0.4,8.471
Qinghai-Coal_1000_RC,1.0,7.88
Qinghai-Coal_100_RC,0.4,9.7395
Qinghai-Coal_100_RC,1.0,9.06
Qinghai-Coal_300_DRY,0.4,10.07275
Qinghai-Coal_300_DRY,1.0,9.37
Qinghai-Coal_300_RC,0.4,9.589
Qinghai-Coal_300_RC,1.0,8.92
Qinghai-Coal_600_DRY,0.4,9.6105
Qinghai-Coal_600_DRY,1.0,8.94
Qinghai-Coal_600_RC,0.4,9.08375
Qinghai-Coal_600_RC,1.0,8.45
Qinghai-Coal_IGCC_RC,0.4,12.75715
Qinghai-Coal_IGCC_RC,1.0,8.89
Qinghai-Coal_Small_RC,0.4,10.406
Qinghai-Coal_Small_RC,1.0,9.68
Qinghai-EP_Coal_300_DRY,0.4,9.46
Qinghai-EP_Coal_300_DRY,1.0,8.8
Qinghai-EP_Coal_300_RC,0.4,9.16975
Qinghai-EP_Coal_300_RC,1.0,8.53
Qinghai-EP_Coal_600_DRY,0.4,8.8795
Qinghai-EP_Coal_600_DRY,1.0,8.26
Qinghai-Gas_CCGT_RC,0.45,9.64548
Qinghai-Gas_CCGT_RC,1.0,7.02
Qinghai-Gas_Combustion_Turbine_RC,0.4,11.03368
Qinghai-Gas_Combustion_Turbine_RC,1.0,9.76
Shaanxi-Coal_1000_DRY,0.4,8.9225
Shaanxi-Coal_1000_DRY,1.0,8.3
Shaanxi-Coal_1000_RC,0.4,8.471
Shaanxi-Coal_1000_RC,1.0,7.88
Shaanxi-Coal_100_DRY,0.4,10.15875
Shaanxi-Coal_100_DRY,1.0,9.45
Shaanxi-Coal_100_RC,0.4,9.7395
Shaanxi-Coal_100_RC,1.0,9.06
Shaanxi-Coal_300_DRY,0.4,10.07275
Shaanxi-Coal_300_DRY,1.0,9.37
Shaanxi-Coal_300_RC,0.4,9.589
Shaanxi-Coal_300_RC,1.0,8.92
Shaanxi-Coal_600_DRY,0.4,9.6105
Shaanxi-Coal_600_DRY,1.0,8.94
Shaanxi-Coal_600_RC,0.4,9.08375
Shaanxi-Coal_600_RC,1.0,8.45
Shaanxi-Coal_IGCC_RC,0.4,12.75715
Shaanxi-Coal_IGCC_RC,1.0,8.89
Shaanxi-Coal_Small_DRY,0.4,10.8145
Shaanxi-Coal_Small_DRY,1.0,10.06
Shaanxi-Coal_Small_RC,0.4,10.406
Shaanxi-Coal_Small_RC,1.0,9.68
Shaanxi-EP_Coal_1000_DRY,0.4,8.41725
Shaanxi-EP_Coal_1000_DRY,1.0,7.83
Shaanxi-EP_Coal_300_DRY,0.4,9.46
Shaanxi-EP_Coal_300_DRY,1.0,8.8
Shaanxi-EP_Coal_300_RC,0.4,9.16975
Shaanxi-EP_Coal_300_RC,1.0,8.53
Shaanxi-EP_Coal_600_DRY,0.4,8.879500000000002
Shaanxi-EP_Coal_600_DRY,1.0,8.26
Shaanxi-EP_Coal_600_RC,0.4,8.52475
Shaanxi-EP_Coal_600_RC,1.0,7.93
Shaanxi-Gas_CCGT_RC,0.45,9.64548
Shaanxi-Gas_CCGT_RC,1.0,7.02
Shaanxi-Gas_Combustion_Turbine_RC,0.4,11.03368
Shaanxi-Gas_Combustion_Turbine_RC,1.0,9.76
Shandong-Coal_1000_DRY,0.4,8.9225
Shandong-Coal_1000_DRY,1.0,8.3
Shandong-Coal_1000_OT,0.4,8.471
Shandong-Coal_1000_OT,1.0,7.88
Shandong-Coal_1000_RC,0.4,8.471
Shandong-Coal_1000_RC,1.0,7.88
Shandong-Coal_100_RC,0.4,9.7395
Shandong-Coal_100_RC,1.0,9.059999999999995
Shandong-Coal_100_SEA,0.4,9.81475
Shandong-Coal_100_SEA,1.0,9.13
Shandong-Coal_300_DRY,0.4,10.07275
Shandong-Coal_300_DRY,1.0,9.37
Shandong-Coal_300_OT,0.4,9.589
Shandong-Coal_300_OT,1.0,8.92
Shandong-Coal_300_RC,0.4,9.589
Shandong-Coal_300_RC,1.0,8.92
Shandong-Coal_600_DRY,0.4,9.6105
Shandong-Coal_600_DRY,1.0,8.94
Shandong-Coal_600_OT,0.4,9.08375
Shandong-Coal_600_OT,1.0,8.45
Shandong-Coal_600_RC,0.4,9.08375
Shandong-Coal_600_RC,1.0,8.45
Shandong-Coal_IGCC_RC,0.4,12.75715
Shandong-Coal_IGCC_RC,1.0,8.89
Shandong-Coal_Small_RC,0.4,10.406
Shandong-Coal_Small_RC,1.0,9.68
Shandong-Coal_Small_SEA,0.4,10.3845
Shandong-Coal_Small_SEA,1.0,9.66
Shandong-EP_Coal_1000_RC,0.4,8.2345
Shandong-EP_Coal_1000_RC,1.0,7.66
Shandong-EP_Coal_1000_SEA,0.4,8.234499999999999
Shandong-EP_Coal_1000_SEA,1.0,7.659999999999999
Shandong-EP_Coal_300_RC,0.4,9.16975
Shandong-EP_Coal_300_RC,1.0,8.529999999999998
Shandong-EP_Coal_300_SEA,0.4,9.16975
Shandong-EP_Coal_300_SEA,1.0,8.53
Shandong-EP_Coal_600_RC,0.4,8.52475
Shandong-EP_Coal_600_RC,1.0,7.930000000000003
Shandong-EP_Coal_600_SEA,0.4,8.52475
Shandong-EP_Coal_600_SEA,1.0,7.93
Shandong-Gas_CCGT_OT,0.45,8.88978
Shandong-Gas_CCGT_OT,1.0,6.47
Shandong-Gas_CCGT_RC,0.45,9.64548
Shandong-Gas_CCGT_RC,1.0,7.019999999999999
Shandong-Gas_Combustion_Turbine_RC,0.4,11.03368
Shandong-Gas_Combustion_Turbine_RC,1.0,9.76
Shanghai-Coal_1000_OT,0.4,8.471
Shanghai-Coal_1000_OT,1.0,7.88
Shanghai-Coal_1000_RC,0.4,8.471
Shanghai-Coal_1000_RC,1.0,7.88
Shanghai-Coal_1000_SEA,0.4,8.471
Shanghai-Coal_1000_SEA,1.0,7.88
Shanghai-Coal_100_SEA,0.4,9.81475
Shanghai-Coal_100_SEA,1.0,9.13
Shanghai-Coal_300_OT,0.4,9.589
Shanghai-Coal_300_OT,1.0,8.92
Shanghai-Coal_300_RC,0.4,9.589
Shanghai-Coal_300_RC,1.0,8.92
Shanghai-Coal_300_SEA,0.4,9.589
Shanghai-Coal_300_SEA,1.0,8.92
Shanghai-Coal_600_OT,0.4,9.08375
Shanghai-Coal_600_OT,1.0,8.45
Shanghai-Coal_600_RC,0.4,9.08375
Shanghai-Coal_600_RC,1.0,8.45
Shanghai-Coal_600_SEA,0.4,9.08375
Shanghai-Coal_600_SEA,1.0,8.45
Shanghai-Coal_IGCC_RC,0.4,12.75715
Shanghai-Coal_IGCC_RC,1.0,8.89
Shanghai-Coal_Small_OT,0.4,10.3845
Shanghai-Coal_Small_OT,1.0,9.66
Shanghai-Coal_Small_RC,0.4,10.406
Shanghai-Coal_Small_RC,1.0,9.68
Shanghai-Coal_Small_SEA,0.4,10.3845
Shanghai-Coal_Small_SEA,1.0,9.66
Shanghai-EP_Coal_1000_OT,0.4,8.2345
Shanghai-EP_Coal_1000_OT,1.0,7.66
Shanghai-EP_Coal_1000_SEA,0.4,8.2345
Shanghai-EP_Coal_1000_SEA,1.0,7.66
Shanghai-EP_Coal_300_OT,0.4,9.16975
Shanghai-EP_Coal_300_OT,1.0,8.53
Shanghai-EP_Coal_600_OT,0.4,8.52475
Shanghai-EP_Coal_600_OT,1.0,7.93
Shanghai-EP_Coal_600_RC,0.4,8.52475
Shanghai-EP_Coal_600_RC,1.0,7.93
Shanghai-EP_Gas_CCGT_OT,0.45,8.68368
Shanghai-EP_Gas_CCGT_OT,1.0,6.32
Shanghai-EP_Gas_CCGT_RC,0.45,9.42564
Shanghai-EP_Gas_CCGT_RC,1.0,6.86
Shanghai-EP_Gas_CCGT_SEA,0.45,8.68368
Shanghai-EP_Gas_CCGT_SEA,1.0,6.32
Shanghai-Gas_CCGT_OT,0.45,8.88978
Shanghai-Gas_CCGT_OT,1.0,6.47
Shanghai-Gas_CCGT_RC,0.45,9.64548
Shanghai-Gas_CCGT_RC,1.0,7.02
Shanghai-Gas_CCGT_SEA,0.45,8.88978
Shanghai-Gas_CCGT_SEA,1.0,6.47
Shanghai-Gas_Combustion_Turbine_RC,0.4,11.03368
Shanghai-Gas_Combustion_Turbine_RC,1.0,9.76
Shanxi-Coal_1000_DRY,0.4,8.9225
Shanxi-Coal_1000_DRY,1.0,8.3
Shanxi-Coal_1000_RC,0.4,8.471
Shanxi-Coal_1000_RC,1.0,7.88
Shanxi-Coal_100_DRY,0.4,10.15875
Shanxi-Coal_100_DRY,1.0,9.449999999999998
Shanxi-Coal_100_OT,0.4,9.81475
Shanxi-Coal_100_OT,1.0,9.13
Shanxi-Coal_100_RC,0.4,9.739499999999998
Shanxi-Coal_100_RC,1.0,9.06
Shanxi-Coal_300_DRY,0.4,10.07275
Shanxi-Coal_300_DRY,1.0,9.37
Shanxi-Coal_300_RC,0.4,9.589
Shanxi-Coal_300_RC,1.0,8.92
Shanxi-Coal_600_DRY,0.4,9.6105
Shanxi-Coal_600_DRY,1.0,8.94
Shanxi-Coal_600_RC,0.4,9.08375
Shanxi-Coal_600_RC,1.0,8.45
Shanxi-Coal_IGCC_RC,0.4,12.75715
Shanxi-Coal_IGCC_RC,1.0,8.89
Shanxi-Coal_Small_DRY,0.4,10.8145
Shanxi-Coal_Small_DRY,1.0,10.06
Shanxi-Coal_Small_RC,0.4,10.406
Shanxi-Coal_Small_RC,1.0,9.68
Shanxi-EP_Coal_1000_DRY,0.4,8.41725
Shanxi-EP_Coal_1000_DRY,1.0,7.83
Shanxi-EP_Coal_300_DRY,0.4,9.46
Shanxi-EP_Coal_300_DRY,1.0,8.799999999999999
Shanxi-EP_Coal_300_OT,0.4,9.16975
Shanxi-EP_Coal_300_OT,1.0,8.53
Shanxi-EP_Coal_300_RC,0.4,9.169749999999995
Shanxi-EP_Coal_300_RC,1.0,8.53
Shanxi-EP_Coal_600_DRY,0.4,8.8795
Shanxi-EP_Coal_600_DRY,1.0,8.26
Shanxi-EP_Coal_600_RC,0.4,8.52475
Shanxi-EP_Coal_600_RC,1.0,7.9300000000000015
Shanxi-EP_Gas_CCGT_RC,0.45,9.42564
Shanxi-EP_Gas_CCGT_RC,1.0,6.86
Shanxi-Gas_CCGT_RC,0.45,9.64548
Shanxi-Gas_CCGT_RC,1.0,7.019999999999999
Shanxi-Gas_Combustion_Turbine_RC,0.4,11.03368
Shanxi-Gas_Combustion_Turbine_RC,1.0,9.76
Sichuan-Coal_1000_RC,0.4,8.471
Sichuan-Coal_1000_RC,1.0,7.88
Sichuan-Coal_100_RC,0.4,9.739499999999998
Sichuan-Coal_100_RC,1.0,9.06
Sichuan-Coal_300_RC,0.4,9.589
Sichuan-Coal_300_RC,1.0,8.92
Sichuan-Coal_600_RC,0.4,9.08375
Sichuan-Coal_600_RC,1.0,8.45
Sichuan-Coal_IGCC_RC,0.4,12.75715
Sichuan-Coal_IGCC_RC,1.0,8.89
Sichuan-Coal_Small_RC,0.4,10.406
Sichuan-Coal_Small_RC,1.0,9.68
Sichuan-EP_Coal_300_RC,0.4,9.169749999999995
Sichuan-EP_Coal_300_RC,1.0,8.53
Sichuan-EP_Coal_600_RC,0.4,8.52475
Sichuan-EP_Coal_600_RC,1.0,7.9300000000000015
Sichuan-EP_Gas_CCGT_RC,0.45,9.42564
Sichuan-EP_Gas_CCGT_RC,1.0,6.86
Sichuan-Gas_CCGT_RC,0.45,9.64548
Sichuan-Gas_CCGT_RC,1.0,7.02
Sichuan-Gas_Combustion_Turbine_RC,0.4,11.03368
Sichuan-Gas_Combustion_Turbine_RC,1.0,9.76
Tianjin-Coal_1000_RC,0.4,8.471
Tianjin-Coal_1000_RC,1.0,7.88
Tianjin-Coal_1000_SEA,0.4,8.471
Tianjin-Coal_1000_SEA,1.0,7.88
Tianjin-Coal_100_RC,0.4,9.7395
Tianjin-Coal_100_RC,1.0,9.06
Tianjin-Coal_100_SEA,0.4,9.81475
Tianjin-Coal_100_SEA,1.0,9.13
Tianjin-Coal_300_RC,0.4,9.589
Tianjin-Coal_300_RC,1.0,8.92
Tianjin-Coal_300_SEA,0.4,9.589
Tianjin-Coal_300_SEA,1.0,8.92
Tianjin-Coal_600_RC,0.4,9.08375
Tianjin-Coal_600_RC,1.0,8.45
Tianjin-Coal_600_SEA,0.4,9.08375
Tianjin-Coal_600_SEA,1.0,8.45
Tianjin-Coal_IGCC_RC,0.4,12.75715
Tianjin-Coal_IGCC_RC,1.0,8.89
Tianjin-Coal_Small_RC,0.4,10.406
Tianjin-Coal_Small_RC,1.0,9.68
Tianjin-EP_Coal_1000_SEA,0.4,8.2345
Tianjin-EP_Coal_1000_SEA,1.0,7.66
Tianjin-EP_Coal_300_RC,0.4,9.16975
Tianjin-EP_Coal_300_RC,1.0,8.53
Tianjin-EP_Coal_300_SEA,0.4,9.16975
Tianjin-EP_Coal_300_SEA,1.0,8.53
Tianjin-EP_Coal_600_RC,0.4,8.52475
Tianjin-EP_Coal_600_RC,1.0,7.93
Tianjin-EP_Coal_IGCC_RC,0.4,10.17415
Tianjin-EP_Coal_IGCC_RC,1.0,7.09
Tianjin-EP_Gas_CCGT_RC,0.45,9.42564
Tianjin-EP_Gas_CCGT_RC,1.0,6.86
Tianjin-Gas_CCGT_RC,0.45,9.64548
Tianjin-Gas_CCGT_RC,1.0,7.02
Tianjin-Gas_CCGT_SEA,0.45,8.88978
Tianjin-Gas_CCGT_SEA,1.0,6.47
Tianjin-Gas_Combustion_Turbine_RC,0.4,11.03368
Tianjin-Gas_Combustion_Turbine_RC,1.0,9.76
Tibet-Gas_Combustion_Turbine_RC,0.4,11.03368
Tibet-Gas_Combustion_Turbine_RC,1.0,9.76
West_Inner_Mongolia-Coal_1000_DRY,0.4,8.9225
West_Inner_Mongolia-Coal_1000_DRY,1.0,8.299999999999999
West_Inner_Mongolia-Coal_1000_RC,0.4,8.471000000000002
West_Inner_Mongolia-Coal_1000_RC,1.0,7.880000000000001
West_Inner_Mongolia-Coal_100_DRY,0.4,10.15875
West_Inner_Mongolia-Coal_100_DRY,1.0,9.449999999999998
West_Inner_Mongolia-Coal_100_RC,0.4,9.739500000000003
West_Inner_Mongolia-Coal_100_RC,1.0,9.06
West_Inner_Mongolia-Coal_300_DRY,0.4,10.07275
West_Inner_Mongolia-Coal_300_DRY,1.0,9.37
West_Inner_Mongolia-Coal_300_RC,0.4,9.589
West_Inner_Mongolia-Coal_300_RC,1.0,8.92
West_Inner_Mongolia-Coal_600_DRY,0.4,9.6105
West_Inner_Mongolia-Coal_600_DRY,1.0,8.94
West_Inner_Mongolia-Coal_600_RC,0.4,9.08375
West_Inner_Mongolia-Coal_600_RC,1.0,8.450000000000001
West_Inner_Mongolia-Coal_IGCC_RC,0.4,12.757149999999998
West_Inner_Mongolia-Coal_IGCC_RC,1.0,8.89
West_Inner_Mongolia-Coal_Small_DRY,0.4,10.8145
West_Inner_Mongolia-Coal_Small_DRY,1.0,10.06
West_Inner_Mongolia-Coal_Small_RC,0.4,10.406
West_Inner_Mongolia-Coal_Small_RC,1.0,9.68
West_Inner_Mongolia-EP_Coal_300_DRY,0.4,9.460000000000004
West_Inner_Mongolia-EP_Coal_300_DRY,1.0,8.799999999999997
West_Inner_Mongolia-EP_Coal_300_RC,0.4,9.16975
West_Inner_Mongolia-EP_Coal_300_RC,1.0,8.53
West_Inner_Mongolia-EP_Coal_600_DRY,0.4,8.8795
West_Inner_Mongolia-EP_Coal_600_DRY,1.0,8.26
West_Inner_Mongolia-EP_Coal_600_OT,0.4,8.52475
West_Inner_Mongolia-EP_Coal_600_OT,1.0,7.93
West_Inner_Mongolia-EP_Coal_600_RC,0.4,8.52475
West_Inner_Mongolia-EP_Coal_600_RC,1.0,7.93
West_Inner_Mongolia-Gas_CCGT_RC,0.45,9.64548
West_Inner_Mongolia-Gas_CCGT_RC,1.0,7.019999999999998
West_Inner_Mongolia-Gas_Combustion_Turbine_RC,0.4,11.03368
West_Inner_Mongolia-Gas_Combustion_Turbine_RC,1.0,9.76
Xinjiang-Coal_1000_DRY,0.4,8.9225
