LOAD_ZONE,PERIOD,zone_expected_coincident_peak_demand
NR,2025,116386.1707
WR,2025,111322.9275
SR,2025,93259.46539
ER,2025,42307.73008
NER,2025,5473.776399
NR,2035,174212.1073
WR,2035,166633.2149
SR,2035,139595.0043
ER,2035,63328.13229
NER,2035,8193.397171
NR,2045,240766.2225
WR,2045,230291.9717
SR,2045,192924.3747
ER,2045,87521.32918
NER,2045,11323.51429
