GENERATION_PROJECT,timepoint,gen_max_capacity_factor
ER-Jharkhand-PV,2030.01.28.12.00,0.7815
ER-Jharkhand-PV,2030.01.28.13.00,0.7075
ER-Jharkhand-PV,2030.01.28.14.00,0.5585
ER-Jharkhand-PV,2030.01.28.15.00,0.3435
ER-Jharkhand-PV,2030.01.28.16.00,0.122
ER-Jharkhand-PV,2030.01.28.17.00,0.0095
ER-Jharkhand-PV,2030.01.28.18.00,0
ER-Jharkhand-PV,2030.01.28.19.00,0
ER-Jharkhand-PV,2030.01.28.20.00,0
ER-Jharkhand-PV,2030.01.28.21.00,0
ER-Jharkhand-PV,2030.01.28.22.00,0
ER-Jharkhand-PV,2030.01.28.23.00,0
ER-Jharkhand-PV,2030.04.15.00.00,0
ER-Jharkhand-PV,2030.04.15.01.00,0
ER-Jharkhand-PV,2030.04.15.02.00,0
ER-Jharkhand-PV,2030.04.15.03.00,0
ER-Jharkhand-PV,2030.04.15.04.00,0
ER-Jharkhand-PV,2030.04.15.05.00,0.03
ER-Jharkhand-PV,2030.04.15.06.00,0.151
ER-Jharkhand-PV,2030.04.15.07.00,0.3365
ER-Jharkhand-PV,2030.04.15.08.00,0.5055
ER-Jharkhand-PV,2030.04.15.09.00,0.6335
ER-Jharkhand-PV,2030.04.15.10.00,0.717
ER-Jharkhand-PV,2030.04.15.11.00,0.752
ER-Jharkhand-PV,2030.04.15.12.00,0.74
ER-Jharkhand-PV,2030.04.15.13.00,0.683
ER-Jharkhand-PV,2030.04.15.14.00,0.5795
ER-Jharkhand-PV,2030.04.15.15.00,0.431
ER-Jharkhand-PV,2030.04.15.16.00,0.2525
ER-Jharkhand-PV,2030.04.15.17.00,0.0875
ER-Jharkhand-PV,2030.04.15.18.00,0.008
ER-Jharkhand-PV,2030.04.15.19.00,0
ER-Jharkhand-PV,2030.04.15.20.00,0
ER-Jharkhand-PV,2030.04.15.21.00,0
ER-Jharkhand-PV,2030.04.15.22.00,0
ER-Jharkhand-PV,2030.04.15.23.00,0
ER-Jharkhand-PV,2030.07.01.00.00,0
ER-Jharkhand-PV,2030.07.01.01.00,0
ER-Jharkhand-PV,2030.07.01.02.00,0
ER-Jharkhand-PV,2030.07.01.03.00,0
ER-Jharkhand-PV,2030.07.01.04.00,0
ER-Jharkhand-PV,2030.07.01.05.00,0.038
ER-Jharkhand-PV,2030.07.01.06.00,0.1525
ER-Jharkhand-PV,2030.07.01.07.00,0.299
ER-Jharkhand-PV,2030.07.01.08.00,0.426
ER-Jharkhand-PV,2030.07.01.09.00,0.5405
ER-Jharkhand-PV,2030.07.01.10.00,0.6325
ER-Jharkhand-PV,2030.07.01.11.00,0.6545
ER-Jharkhand-PV,2030.07.01.12.00,0.58
ER-Jharkhand-PV,2030.07.01.13.00,0.4645
ER-Jharkhand-PV,2030.07.01.14.00,0.3405
ER-Jharkhand-PV,2030.07.01.15.00,0.2425
ER-Jharkhand-PV,2030.07.01.16.00,0.173
ER-Jharkhand-PV,2030.07.01.17.00,0.0805
ER-Jharkhand-PV,2030.07.01.18.00,0.015
ER-Jharkhand-PV,2030.07.01.19.00,0
ER-Jharkhand-PV,2030.07.01.20.00,0
ER-Jharkhand-PV,2030.07.01.21.00,0
ER-Jharkhand-PV,2030.07.01.22.00,0
ER-Jharkhand-PV,2030.07.01.23.00,0
ER-Jharkhand-PV,2030.10.31.00.00,0
ER-Jharkhand-PV,2030.10.31.01.00,0
ER-Jharkhand-PV,2030.10.31.02.00,0
ER-Jharkhand-PV,2030.10.31.03.00,0
ER-Jharkhand-PV,2030.10.31.04.00,0
ER-Jharkhand-PV,2030.10.31.05.00,0
ER-Jharkhand-PV,2030.10.31.06.00,0.0375
ER-Jharkhand-PV,2030.10.31.07.00,0.174
ER-Jharkhand-PV,2030.10.31.08.00,0.384
ER-Jharkhand-PV,2030.10.31.09.00,0.5745
ER-Jharkhand-PV,2030.10.31.10.00,0.696
ER-Jharkhand-PV,2030.10.31.11.00,0.7275
ER-Jharkhand-PV,2030.10.31.12.00,0.696
ER-Jharkhand-PV,2030.10.31.13.00,0.624
ER-Jharkhand-PV,2030.10.31.14.00,0.498
ER-Jharkhand-PV,2030.10.31.15.00,0.3175
ER-Jharkhand-PV,2030.10.31.16.00,0.1225
ER-Jharkhand-PV,2030.10.31.17.00,0.0165
ER-Jharkhand-PV,2030.10.31.18.00,0
ER-Jharkhand-PV,2030.10.31.19.00,0
ER-Jharkhand-PV,2030.10.31.20.00,0
ER-Jharkhand-PV,2030.10.31.21.00,0
ER-Jharkhand-PV,2030.10.31.22.00,0
ER-Jharkhand-PV,2030.10.31.23.00,0
ER-Odisha-PV,2030.01.28.00.00,0
ER-Odisha-PV,2030.01.28.01.00,0
ER-Odisha-PV,2030.01.28.02.00,0
ER-Odisha-PV,2030.01.28.03.00,0
ER-Odisha-PV,2030.01.28.04.00,0
ER-Odisha-PV,2030.01.28.05.00,0
ER-Odisha-PV,2030.01.28.06.00,0.0475
ER-Odisha-PV,2030.01.28.07.00,0.2235
ER-Odisha-PV,2030.01.28.08.00,0.4585
ER-Odisha-PV,2030.01.28.09.00,0.6325
ER-Odisha-PV,2030.01.28.10.00,0.7355
ER-Odisha-PV,2030.01.28.11.00,0.773
ER-Odisha-PV,2030.01.28.12.00,0.752
ER-Odisha-PV,2030.01.28.13.00,0.677
ER-Odisha-PV,2030.01.28.14.00,0.5385
ER-Odisha-PV,2030.01.28.15.00,0.339
ER-Odisha-PV,2030.01.28.16.00,0.125
ER-Odisha-PV,2030.01.28.17.00,0.012
ER-Odisha-PV,2030.01.28.18.00,0
ER-Odisha-PV,2030.01.28.19.00,0
ER-Odisha-PV,2030.01.28.20.00,0
ER-Odisha-PV,2030.01.28.21.00,0
ER-Odisha-PV,2030.01.28.22.00,0
ER-Odisha-PV,2030.01.28.23.00,0
ER-Odisha-PV,2030.04.15.00.00,0
ER-Odisha-PV,2030.04.15.01.00,0
ER-Odisha-PV,2030.04.15.02.00,0
ER-Odisha-PV,2030.04.15.03.00,0
ER-Odisha-PV,2030.04.15.04.00,0
ER-Odisha-PV,2030.04.15.05.00,0.0085
ER-Odisha-PV,2030.04.15.06.00,0.095
ER-Odisha-PV,2030.04.15.07.00,0.2755
ER-Odisha-PV,2030.04.15.08.00,0.4705
ER-Odisha-PV,2030.04.15.09.00,0.628
ER-Odisha-PV,2030.04.15.10.00,0.7265
ER-Odisha-PV,2030.04.15.11.00,0.759
ER-Odisha-PV,2030.04.15.12.00,0.7395
ER-Odisha-PV,2030.04.15.13.00,0.677
