load_zone,TIMEPOINT,zone_demand_mw
WR,2030.04.15.18.00,92400
WR,2030.04.15.19.00,92631
WR,2030.04.15.20.00,97571
WR,2030.04.15.21.00,96008
WR,2030.04.15.22.00,95178
WR,2030.04.15.23.00,96764
ER,2030.01.28.00.00,32968
ER,2030.01.28.01.00,32318
ER,2030.01.28.02.00,31822
ER,2030.01.28.03.00,31714
ER,2030.01.28.04.00,31938
ER,2030.01.28.05.00,32398
ER,2030.01.28.06.00,33608
ER,2030.01.28.07.00,34127
ER,2030.01.28.08.00,33860
ER,2030.01.28.09.00,33639
ER,2030.01.28.10.00,32884
ER,2030.01.28.11.00,32291
ER,2030.01.28.12.00,32004
ER,2030.01.28.13.00,31151
ER,2030.01.28.14.00,29858
ER,2030.01.28.15.00,29788
ER,2030.01.28.16.00,30415
ER,2030.01.28.17.00,32731
ER,2030.01.28.18.00,38772
ER,2030.01.28.19.00,40259
ER,2030.01.28.20.00,40087
ER,2030.01.28.21.00,38790
ER,2030.01.28.22.00,36447
ER,2030.01.28.23.00,34198
ER,2030.04.15.00.00,34385
ER,2030.04.15.01.00,33054
ER,2030.04.15.02.00,32544
ER,2030.04.15.03.00,32330
ER,2030.04.15.04.00,32173
ER,2030.04.15.05.00,32411
ER,2030.04.15.06.00,31376
ER,2030.04.15.07.00,31150
ER,2030.04.15.08.00,31245
ER,2030.04.15.09.00,31578
ER,2030.04.15.10.00,32042
ER,2030.04.15.11.00,32365
ER,2030.04.15.12.00,32621
ER,2030.04.15.13.00,32344
ER,2030.04.15.14.00,32009
ER,2030.04.15.15.00,32270
ER,2030.04.15.16.00,32074
ER,2030.04.15.17.00,31589
ER,2030.04.15.18.00,32311
ER,2030.04.15.19.00,37454
ER,2030.04.15.20.00,38250
ER,2030.04.15.21.00,38339
ER,2030.04.15.22.00,37313
ER,2030.04.15.23.00,35915
NER,2030.07.01.00.00,4211
NER,2030.07.01.01.00,4067
NER,2030.07.01.02.00,3986
NER,2030.07.01.03.00,3925
NER,2030.07.01.04.00,3815
NER,2030.07.01.05.00,3722
NER,2030.07.01.06.00,3767
NER,2030.07.01.07.00,3843
NER,2030.07.01.08.00,3882
NER,2030.07.01.09.00,3897
NER,2030.07.01.10.00,3884
NER,2030.07.01.11.00,3849
NER,2030.07.01.12.00,3838
NER,2030.07.01.13.00,3854
NER,2030.07.01.14.00,3911
NER,2030.07.01.15.00,3966
NER,2030.07.01.16.00,4022
NER,2030.07.01.17.00,4039
NER,2030.07.01.18.00,4347
NER,2030.07.01.19.00,5069
NER,2030.07.01.20.00,5033
NER,2030.07.01.21.00,5021
NER,2030.07.01.22.00,4820
NER,2030.07.01.23.00,4435
NER,2030.10.31.00.00,4055
NER,2030.10.31.01.00,3856
NER,2030.10.31.02.00,3783
NER,2030.10.31.03.00,3740
NER,2030.10.31.04.00,3707
NER,2030.10.31.05.00,3752
NER,2030.10.31.06.00,3901
NER,2030.10.31.07.00,3935
NER,2030.10.31.08.00,3918
