"scenario_name","scenario_profile","region","eres_case","tech_scenario","carbon_case","solver","solver_options_string","crossover"
"Scen_CN_Low_A_HighRGES_000","CN_HR_A","CN","HR","A","CE000","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_HighRGES_001","CN_HR_A","CN","HR","A","CE001","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_HighRGES_002","CN_HR_A","CN","HR","A","CE002","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_HighRGES_003","CN_HR_A","CN","HR","A","CE003","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_HighRGES_004","CN_HR_A","CN","HR","A","CE004","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_HighRGES_005","CN_HR_A","CN","HR","A","CE005","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_HighRGES_006","CN_HR_A","CN","HR","A","CE006","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_HighRGES_007","CN_HR_A","CN","HR","A","CE007","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_HighRGES_008","CN_HR_A","CN","HR","A","CE008","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_HighRGES_009","CN_HR_A","CN","HR","A","CE009","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_HighRGES_010","CN_HR_A","CN","HR","A","CE010","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_HighRGES_011","CN_HR_A","CN","HR","A","CE011","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_HighRGES_012","CN_HR_A","CN","HR","A","CE012","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_HighRGES_013","CN_HR_A","CN","HR","A","CE013","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_HighRGES_014","CN_HR_A","CN","HR","A","CE014","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_A_HighRGES_015","CN_HR_A","CN","HR","A","CE015","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_BaseRGES_000","CN_BR_C","CN","BR","C","CE000","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_BaseRGES_001","CN_BR_C","CN","BR","C","CE001","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_BaseRGES_002","CN_BR_C","CN","BR","C","CE002","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_BaseRGES_003","CN_BR_C","CN","BR","C","CE003","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_BaseRGES_004","CN_BR_C","CN","BR","C","CE004","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_BaseRGES_005","CN_BR_C","CN","BR","C","CE005","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_BaseRGES_006","CN_BR_C","CN","BR","C","CE006","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_BaseRGES_007","CN_BR_C","CN","BR","C","CE007","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
"Scen_CN_Low_C_BaseRGES_008","CN_BR_C","CN","BR","C","CE008","gurobi","Method=2 TimeLimit=60000 NumericFocus=3 Crossover=0 BarHomogeneous=1 BarConvTol=1e-6 OptimalityTol=1e-4 FeasibilityTol=1e-5 OutputFlag=0","0"
